,Unnamed: 0,RefId,PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelType,VehOdo,Nationality,AAAP,AACP,ARAP,ARCP,CAAP,CACP,CRAP,CRCP,BYRNO,VNST,VehBCost,WarrantyCost,PurchYear,PurchMonth,PurchDay,PurchWeekDay,EngineLiters,NumCylinders,4X4,WheelDrive,NumDoors,PCA1,PCA2,IsBadBuy
23,27323,48665,5/14/2010,MANHEIM,2002.0,8.0,GM,L SERIES,LW3,WAGON,BLUE,AUTO,Alloy,48406,AMERICAN,3613.0,4647.0,6458.0,7720.0,2530.0,3649.0,5948.0,8579.0,16044,PA,5240.0,1769,2010.0,5.0,14.0,Friday,3.1352582163968368,8.0,0,0,4.0,-7430.407096482199,-2283.7888733367663,0
24,9482,23125,3/4/2010,MANHEIM,2002.0,8.0,FORD,ESCAPE,XLT,SUV,SILVER,AUTO,Covers,86360,AMERICAN,4264.0,5252.0,8104.0,9982.0,4375.0,5537.0,7238.0,8536.0,18880,SC,7055.0,1283,2010.0,3.0,4.0,Thursday,3.0,6.0,NO,0,4.0,-3871.7513746459695,-2103.696944002188,0
25,40895,32114,7/2/2010,OTHER,2007.0,3.0,NISSAN,ALTIMA,Bas,SEDAN,WHITE,AUTO,Covers,77972,JAPANESE,11261.0,12858.0,15866.0,18116.0,10859.0,12760.0,15295.0,17256.0,20740,SC,10800.0,686,2010.0,7.0,2.0,Friday,3.0590956794485287,7.0,0,0,4.0,17740.664837403423,-1144.5011955960467,0
26,18995,63354,2/10/2009,MANHEIM,2005.0,4.0,CHRYSLER,NEON,SXT,SEDAN,BLACK,AUTO,Alloy,61618,AMERICAN,3647.0,4711.0,4439.0,5588.0,4104.0,5075.0,4932.0,5981.0,18111,TN,4200.0,630,2009.0,2.0,10.0,Tuesday,2.0,4.0,0,0,4.0,-9530.346951346764,1413.5345141811554,0
27,25842,24764,6/2/2010,MANHEIM,2003.0,7.0,FORD,TAURUS,SE,SEDAN,WHITE,AUTO,Alloy,69064,AMERICAN,2625.0,3785.0,5574.0,6693.0,2383.0,3481.0,5128.0,6475.0,19619,FL,4650.0,1125,2010.0,6.0,2.0,Wednesday,4.541007496950417,5.0,0,0,4.0,-10011.403949065078,-1685.3716564876313,0
28,12229,20810,11/18/2009,MANHEIM,2005.0,4.0,CHRYSLER,LIBERTY,Spo,SUV,SILVER,AUTO,Alloy,76813,AMERICAN,6152.0,7297.0,7144.0,8381.0,7468.0,8404.0,11084.0,12246.0,20833,TX,6025.0,686,2009.0,11.0,18.0,Wednesday,3.887313143162135,6.0,NO,0,4.0,1140.326210282788,1171.9110865960636,0
29,50166,63942,8/26/2009,ADESA,2006.0,3.0,GM,ION,LT,SEDAN,BLACK,AUTO,Covers,69976,AMERICAN,6408.0,7588.0,7421.0,8695.0,5702.0,7055.0,9304.0,10841.0,20234,AZ,6855.0,923,2009.0,8.0,11.0,Wednesday,2.2,4.0,0,0,4.0,1823.4937906778464,-418.8978498777804,0
30,35485,5428,4/17/2009,MANHEIM,2006.0,3.0,CHRYSLER,STRATUS,SXT,SEDAN,GREY,AUTO,Covers,78516,AMERICAN,5480.0,6461.0,6418.0,7478.0,5480.0,6461.0,6418.0,7478.0,20234,AZ,4800.0,1389,2009.0,4.0,17.0,Friday,2.7,6.0,0,0,4.0,-4879.356480069209,1637.7984534441098,0
31,36182,67359,10/27/2010,ADESA,2004.0,6.0,GM,1500 SILVERADO,LS,CAB,GREEN,AUTO,Alloy,66940,AMERICAN,5089.0,6494.0,8874.0,10281.0,6703.0,8503.0,11579.0,13423.0,52644,TX,9345.0,1020,2010.0,10.0,27.0,Wednesday,4.8,6.0,0,0,5.0,2456.0401971317942,-1515.957463216929,0
32,54411,22945,7/30/2009,MANHEIM,2008.0,2.0,CHRYSLER,CARAVAN,XLT,MINIVAN,MAROON,AUTO,Alloy,74506,AMERICAN,13992.0,15975.0,18623.0,20106.0,14532.0,16967.0,17991.0,20253.0,18111,SC,7055.0,1623,2010.0,11.0,3.0,Thursday,3.0,6.0,NO,Front,4.0,8175.663717775264,847.3863778157604,0
33,17501,38164,6/18/2010,MANHEIM,2004.0,6.0,FORD,F150,XLT,CAB,WHITE,AUTO,Alloy,97028,AMERICAN,8740.0,10205.0,12493.0,14165.0,9287.0,11057.0,13677.0,15402.0,23657,NV,9725.0,909,2010.0,6.0,18.0,Friday,4.6,8.0,NO,0,5.0,10875.056529521202,-666.2144556559035,0
34,41222,36169,5/6/2009,MANHEIM,2006.0,3.0,CHRYSLER,DURANGO,ES,CAB,BLUE,AUTO,Alloy,89071,AMERICAN,8381.0,9443.0,9551.0,10698.0,8872.0,9618.0,10082.0,10887.0,17212,TX,9495.0,983,2009.0,3.0,25.0,Wednesday,2.9339973035277693,4.0,NO,0,4.0,9337.330448602379,762.9173151478885,0
35,14037,37174,7/21/2010,MANHEIM,2004.0,6.0,GM,MALIBU,LS,SEDAN,RED,AUTO,Alloy,85268,AMERICAN,4245.0,5485.0,7448.0,8525.0,4308.0,5750.0,8117.0,9348.0,20833,TX,6045.0,1373,2010.0,7.0,21.0,Wednesday,3.5291391096582014,6.0,0,0,4.0,-3930.083351608479,-1483.8725261272175,0
36,53068,61071,5/11/2010,MANHEIM,2007.0,2.0,GM,MALIBU,Bas,WAGON,RED,AUTO,Alloy,72607,AMERICAN,7351.0,8492.0,8439.0,9671.0,8305.0,10003.0,11625.0,13681.0,8655,MO,6415.0,569,2009.0,11.0,25.0,Tuesday,2.8008876298176477,8.0,0,0,4.0,-297.6247815063817,1905.3153890878507,0
37,40825,45282,9/17/2009,OTHER,2003.0,6.0,CHRYSLER,1500 RAM PICKUP,Lar,CAB,RED,AUTO,Alloy,90383,AMERICAN,6256.0,8069.0,7256.0,9215.0,6408.0,8191.0,11403.0,14575.0,3453,CO,8975.0,1353,2009.0,9.0,17.0,Thursday,4.7,5.0,NO,0,4.0,2479.402416875327,49.71535028108632,0
38,42052,2241,4/28/2009,ADESA,2005.0,4.0,GM,GRAND PRIX,SE,SEDAN,GREY,AUTO,Alloy,87484,AMERICAN,4161.0,5175.0,4994.0,6089.0,3947.0,4917.0,4763.0,5810.0,8172,OH,6665.0,2152,2009.0,3.0,4.0,Tuesday,3.0,6.0,0,0,4.0,5787.3982829512,-334.7267150502178,0
39,28217,60378,10/29/2010,ADESA,2007.0,3.0,CHRYSLER,CALIBER,SXT,WAGON,BEIGE,AUTO,Covers,64433,AMERICAN,6635.0,7877.0,10387.0,11170.0,7114.0,8270.0,10814.0,11947.0,8172,TN,6970.0,825,2010.0,10.0,29.0,Friday,2.853007779344169,7.0,0,0,4.0,3458.452909456885,-942.7290727463568,0
40,11350,34606,10/5/2010,MANHEIM,2006.0,4.0,GM,MALIBU,LT,SEDAN,GREEN,AUTO,Alloy,78341,AMERICAN,5738.0,7236.0,9864.0,11249.0,5942.0,7301.0,9081.0,10570.0,3453,CO,5780.0,1272,2010.0,10.0,5.0,Tuesday,2.3977606521332797,6.0,0,0,4.0,944.873708055876,-1523.6583816798504,0
41,48840,19235,1/20/2009,OTHER,2004.0,5.0,GM,ION,SLT,SEDAN,WHITE,AUTO,Alloy,67831,AMERICAN,6844.0,8202.0,7892.0,9358.0,5875.0,6940.0,6845.0,7995.0,21053,CA,5535.0,1703,2009.0,8.0,26.0,Tuesday,4.7,8.0,0,0,4.0,-1145.7058946980624,-733.4505951923053,0
42,52793,7002,12/7/2010,MANHEIM,2007.0,3.0,GM,FOCUS,Spo,SUV,GREEN,AUTO,Alloy,92233,AMERICAN,8913.0,10524.0,12601.0,14050.0,7748.0,9416.0,11828.0,13187.0,21053,AZ,3140.0,1918,2010.0,9.0,14.0,Tuesday,2.4,4.0,NO,0,4.0,-5510.25983140808,1444.0778208623199,0
43,54674,28748,7/22/2009,MANHEIM,2004.0,5.0,KIA,LIBERTY,SE,SEDAN,PURPLE,AUTO,Covers,56542,KOREAN,4481.0,6235.0,5339.0,7234.0,4481.0,6235.0,5339.0,7234.0,22916,CO,6075.0,671,2009.0,6.0,23.0,Wednesday,2.7,6.0,0,0,4.0,5497.658776944957,-1536.455129695643,0
44,53030,59360,3/25/2010,MANHEIM,2006.0,3.0,CHRYSLER,CARAVAN GRAND,LS,CAB,WHITE,AUTO,Alloy,74822,AMERICAN,7961.0,10221.0,9098.0,11539.0,7749.0,9671.0,12065.0,14557.0,23359,CA,10510.0,920,2009.0,8.0,25.0,Thursday,3.5,6.0,NO,0,4.0,8434.835574569928,-340.2420313208864,0
45,1712,58961,2/12/2009,MANHEIM,2004.0,5.0,NISSAN,MAXIMA,SE,SEDAN,SILVER,AUTO,Alloy,91466,JAPANESE,8061.0,9748.0,9206.0,11028.0,8130.0,9924.0,9280.0,11218.0,23359,CA,8370.0,1341,2009.0,2.0,12.0,Thursday,3.5,6.0,0,0,4.0,3948.7207300521527,2356.2539466465555,0
46,55137,37786,3/18/2010,MANHEIM,2003.0,6.0,GM,MALIBU,150,WAGON,RED,AUTO,Covers,63378,AMERICAN,7243.0,8617.0,8322.0,9806.0,7243.0,8617.0,8322.0,9806.0,22916,NV,7485.0,533,2009.0,7.0,28.0,Thursday,5.3,6.0,0,0,4.0,10669.32747848875,2797.4928832474093,0
47,41014,24690,4/7/2010,MANHEIM,2002.0,7.0,MITSUBISHI,CARAVAN GRAND,Cus,SEDAN,GOLD,AUTO,Covers,74094,JAPANESE,2685.0,3622.0,3400.0,4412.0,2685.0,3622.0,3400.0,4412.0,20740,FL,8600.0,569,2009.0,4.0,14.0,Wednesday,3.1,6.0,0,0,4.0,19559.066666893712,106.7632210957164,0
48,23574,13696,5/11/2010,MANHEIM,2001.0,9.0,FORD,TAURUS,SES,SEDAN,BLUE,AUTO,Alloy,62082,AMERICAN,1905.0,2696.0,4178.0,5385.0,1590.0,2412.0,3778.0,5780.0,16044,MD,4020.0,1125,2010.0,5.0,11.0,Tuesday,3.704792000514502,5.0,0,0,4.0,-13010.286127262612,-1587.3304694064154,0
49,50767,43246,2/3/2010,MANHEIM,2003.0,6.0,CHRYSLER,CHARGER,CX,MINIVAN,GREY,AUTO,Covers,77778,AMERICAN,4744.0,6106.0,5624.0,7094.0,4763.0,6272.0,5644.0,7274.0,21973,FL,5600.0,1623,2009.0,8.0,26.0,Wednesday,3.4,9.0,NO,Front,4.0,3361.3356330641523,-518.5931169109132,0
50,45478,41420,9/24/2009,MANHEIM,2008.0,2.0,HYUNDAI,CALIBER,Bas,SEDAN,BLACK,AUTO,Covers,65951,KOREAN,8248.0,9521.0,12191.0,12928.0,8241.0,9674.0,11718.0,12935.0,20928,FL,4010.0,1125,2010.0,10.0,20.0,Thursday,4.446023966984773,4.0,0,0,4.0,2153.3633544438,2273.7071087969816,0
51,10786,56630,5/7/2009,OTHER,2006.0,3.0,CHRYSLER,STRATUS,SXT,SEDAN,BLUE,AUTO,Covers,67221,AMERICAN,5480.0,6461.0,6418.0,7478.0,5480.0,6461.0,6418.0,7478.0,99750,MS,4600.0,1215,2009.0,5.0,7.0,Thursday,2.7,6.0,0,0,4.0,-4879.356480069209,1637.7984534441098,0
52,39662,34499,5/25/2010,MANHEIM,2001.0,9.0,FORD,TAURUS,SES,SEDAN,BLUE,AUTO,Alloy,95442,AMERICAN,2136.0,2993.0,4663.0,5623.0,2565.0,3911.0,5331.0,7134.0,22916,CO,2840.0,1353,2010.0,5.0,25.0,Tuesday,3.2868805470415983,8.0,0,0,4.0,-10655.697779747295,-1256.3498403306367,0
53,58192,6395,12/2/2010,MANHEIM,2005.0,5.0,FORD,TOWN & COUNTRY V,Tou,SUV,BLUE,AUTO,Alloy,79990,AMERICAN,3931.0,4915.0,7161.0,8595.0,4463.0,5391.0,8027.0,9298.0,8172,GA,8060.0,1506,2010.0,1.0,21.0,Thursday,2.6038873131063003,5.0,NO,Front,4.0,-5109.056341302431,1732.1587927386493,0
54,41731,13539,9/15/2009,MANHEIM,2003.0,7.0,CHRYSLER,IMPALA,s,SEDAN,WHITE,AUTO,Alloy,58604,AMERICAN,3982.0,5155.0,6986.0,8605.0,4764.0,5817.0,8032.0,9156.0,16044,MD,6400.0,1169,2010.0,10.0,22.0,Tuesday,2.9989451392971227,4.0,0,0,4.0,-4859.117498273312,-2443.678346231236,0
55,55421,64349,4/21/2010,ADESA,2005.0,4.0,GM,GRAND PRIX,Bas,SEDAN,GOLD,AUTO,Covers,37115,AMERICAN,5161.0,6516.0,6074.0,7537.0,4534.0,5637.0,8166.0,9626.0,835,AZ,4630.0,582,2009.0,9.0,24.0,Wednesday,2.2,4.0,0,0,4.0,2381.1918796212412,-1177.810063377724,0
56,38567,10386,6/30/2009,MANHEIM,2004.0,5.0,GM,TRAILBLAZER,LT,SUV,MAROON,AUTO,Alloy,59196,AMERICAN,6921.0,8307.0,7975.0,9472.0,6301.0,7799.0,7305.0,8923.0,19662,TX,8795.0,920,2009.0,6.0,30.0,Tuesday,4.2,5.0,NO,0,4.0,-858.7079011563977,1796.6246336556412,0
57,30140,29551,2/26/2010,OTHER,2008.0,2.0,CHRYSLER,SEBRING,LX,SEDAN,BLUE,AUTO,Covers,52270,AMERICAN,8607.0,9218.0,12024.0,13935.0,8535.0,9201.0,12182.0,12823.0,99761,OK,8500.0,920,2010.0,2.0,26.0,Friday,3.234914689796753,4.0,0,0,4.0,7812.115419671803,-1057.4534019466982,0
58,42461,2345,12/8/2009,ADESA,2006.0,3.0,CHRYSLER,ELANTRA,Bas,MINIVAN,BLUE,AUTO,Covers,60020,AMERICAN,4334.0,4565.0,5181.0,5430.0,3770.0,4380.0,7300.0,7951.0,20928,OH,7285.0,1411,2009.0,12.0,2.0,Tuesday,4.2384611938232695,4.0,NO,0,4.0,-4122.0514964435415,-1202.7228278473656,0
59,50938,28187,9/30/2009,MANHEIM,2005.0,4.0,CHRYSLER,TRAILBLAZER,ST,SEDAN,BLUE,AUTO,UNKNOWN,55663,AMERICAN,4762.0,6333.0,5643.0,7340.0,5649.0,7491.0,6601.0,8590.0,20740,FL,5100.0,1386,2009.0,2.0,19.0,Wednesday,3.7,7.0,0,0,5.0,11469.810484077163,-147.12749061985878,0
60,7126,30451,9/15/2010,MANHEIM,2006.0,4.0,GM,IMPALA,LS,SEDAN,GREY,AUTO,Covers,75373,AMERICAN,6367.0,7847.0,9568.0,11297.0,5814.0,6982.0,9294.0,10662.0,20928,FL,7550.0,1974,2010.0,9.0,15.0,Wednesday,3.2933656421972475,6.0,0,0,4.0,1213.416265162299,-1258.2660728404308,0
61,47288,5342,1/26/2010,MANHEIM,2003.0,6.0,GM,MAXIMA,W/T,SEDAN,GOLD,AUTO,Alloy,68297,AMERICAN,4492.0,5650.0,5351.0,6602.0,4549.0,5752.0,8467.0,9978.0,835,AZ,5700.0,1703,2009.0,11.0,20.0,Tuesday,4.3,4.0,0,0,5.0,6587.746115136699,-1590.8684979261425,0
62,24573,32520,2/24/2009,MANHEIM,2003.0,6.0,GMC,ENVOY,SLE,UTILITY,WHITE,AUTO,Alloy,60656,AMERICAN,6515.0,7256.0,7536.0,8336.0,7008.0,8269.0,8069.0,9431.0,3453,CO,8605.0,2003,2009.0,2.0,24.0,Tuesday,4.2,6.0,YES,0,4.0,-1090.7794058707395,2130.2777014318344,0
63,51300,34310,3/23/2010,MANHEIM,2004.0,5.0,GM,TRAILBLAZER,Tou,SUV,RED,AUTO,Alloy,85278,AMERICAN,6546.0,7468.0,7570.0,8565.0,6546.0,7468.0,7570.0,8565.0,22916,CO,9140.0,2152,2009.0,7.0,1.0,Tuesday,3.8,6.0,YES,0,4.0,-3704.225085229493,-1575.433217490721,0
64,16941,7352,10/22/2009,MANHEIM,2008.0,1.0,CHRYSLER,AVENGER,SE,SEDAN,GREY,AUTO,Covers,66842,AMERICAN,7937.0,8706.0,9072.0,9902.0,7857.0,8711.0,8986.0,9908.0,18111,GA,7260.0,1020,2009.0,10.0,22.0,Thursday,2.4,4.0,0,0,4.0,1952.2021649992873,2119.413333220344,0
65,52339,68971,9/17/2009,ADESA,2005.0,5.0,GM,FOCUS,SXT,SEDAN,WHITE,AUTO,Alloy,86395,AMERICAN,3689.0,4605.0,6809.0,7730.0,4108.0,5183.0,7356.0,8535.0,20928,FL,4100.0,1933,2010.0,2.0,22.0,Thursday,2.3374389957928794,4.0,0,0,4.0,-7369.3372798962,-1327.1199348166267,0
66,25274,20714,8/14/2009,MANHEIM,2004.0,5.0,CHRYSLER,DURANGO,Lim,SUV,BLUE,AUTO,Alloy,87890,AMERICAN,8029.0,9312.0,9171.0,10557.0,7465.0,9101.0,11199.0,12907.0,20833,TX,8750.0,1503,2009.0,8.0,14.0,Friday,5.7,8.0,NO,0,4.0,4536.646768052444,986.816067141944,0
67,5743,49253,4/22/2010,OTHER,2006.0,4.0,GM,EQUINOX,LT,SUV,RED,AUTO,Alloy,76560,AMERICAN,9674.0,11810.0,13400.0,14854.0,9006.0,11246.0,12935.0,15727.0,20833,OK,9135.0,1389,2010.0,4.0,22.0,Thursday,3.3591285248451723,6.0,NO,Front,4.0,12125.284222493892,-349.91266478026705,0
68,6394,69575,2/25/2009,ADESA,2006.0,3.0,FORD,EXPLORER,XLT,SUV,GOLD,AUTO,Alloy,71598,AMERICAN,11347.0,13158.0,12755.0,14711.0,11959.0,13707.0,13416.0,15304.0,21053,AZ,8195.0,1155,2009.0,2.0,25.0,Wednesday,4.0,6.0,NO,0,4.0,14442.474040883655,3253.7100171005486,0
69,17635,35854,2/11/2010,MANHEIM,2005.0,5.0,FORD,FREESTAR,SE,MINIVAN,MAROON,AUTO,Covers,72650,AMERICAN,4637.0,5360.0,8591.0,9474.0,5117.0,6366.0,8577.0,9790.0,11210,VA,6290.0,1506,2010.0,2.0,11.0,Thursday,3.9,6.0,NO,Front,4.0,-2245.390983751028,-1824.7404656233161,0
70,1856,7932,11/2/2009,MANHEIM,2006.0,3.0,GM,IMPALA,LS,SEDAN,SILVER,AUTO,Alloy,74624,AMERICAN,6516.0,7790.0,7537.0,8913.0,6129.0,7065.0,9888.0,11083.0,18880,NC,7700.0,1974,2009.0,11.0,2.0,Monday,2.3438547572064508,8.0,0,0,4.0,19.73497400494946,468.30879598146174,0
71,52154,61225,4/7/2009,MANHEIM,2005.0,5.0,CHRYSLER,TOWN & COUNTRY V,SE,SUV,SILVER,AUTO,Alloy,77708,AMERICAN,3786.0,4710.0,7082.0,8629.0,3383.0,4538.0,6823.0,8068.0,16044,NC,5830.0,1689,2010.0,3.0,3.0,Tuesday,3.8942672282215214,5.0,NO,0,4.0,9720.879176277149,68.11996907115477,0
